frame,people_detected,avg_confidence,processing_time_sec,fps
188,3,0.561,0.0498,20.1
189,3,0.557,0.0509,19.66
190,2,0.748,0.0497,20.14
191,2,0.722,0.0492,20.32
192,2,0.736,0.0507,19.73
193,2,0.733,0.0512,19.54
194,2,0.71,0.0653,15.32
195,2,0.71,0.0561,17.84
196,2,0.727,0.0794,12.59
197,2,0.696,0.0632,15.83
198,2,0.705,0.0548,18.26
199,2,0.708,0.0637,15.69
200,2,0.716,0.0482,20.77
201,2,0.69,0.0467,21.4
202,2,0.686,0.0494,20.23
203,2,0.542,0.0481,20.78
204,2,0.712,0.0473,21.14
205,2,0.722,0.0578,17.3
206,2,0.653,0.073,13.7
207,2,0.656,0.054,18.51
208,2,0.646,0.047,21.28
209,2,0.678,0.0512,19.55
210,2,0.677,0.0544,18.37
211,2,0.607,0.0644,15.52
212,3,0.58,0.0668,14.98
213,3,0.485,0.0532,18.81
214,3,0.604,0.0476,21.0
215,3,0.642,0.0578,17.31
216,4,0.536,0.049,20.43
217,4,0.535,0.0501,19.98
218,3,0.634,0.0538,18.58
